epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7252,0.9434,2.62522,1.3164,1.36832,0.83673,0.94615,0.85333,0.60296,0.65646,0.74231,0.54376,0.16685,0.80569,4.35054,4.63843,1.10163,0.0004,0.0004,0.0004
2,36.8597,0.74936,1.16671,0.69225,1.13054,0.64789,0.88462,0.63631,0.44102,0.56901,0.77692,0.49946,0.24335,0.89803,3.54166,8.06007,1.34266,0.000815941,0.000815941,0.000815941
3,47.8594,0.77026,1.01835,0.70396,1.15682,0.49006,0.92692,0.81176,0.57329,0.73504,0.33077,0.45076,0.1944,0.98999,7.10299,4.48814,1.56772,0.00122772,0.00122772,0.00122772
4,59.0291,0.72532,1.22665,0.61921,1.13631,0.41515,0.94615,0.60624,0.39722,0.24133,0.55,0.19735,0.08018,1.02099,10.1126,5.35223,1.56236,0.00163535,0.00163535,0.00163535
5,71.4983,0.76608,1.72174,0.63831,1.13101,0.48984,0.91538,0.6444,0.40235,0.30821,0.6,0.25194,0.09259,1.13563,6.42625,4.31768,1.55943,0.0019604,0.0019604,0.0019604
6,81.2951,0.76994,1.51023,0.66218,1.17416,0.60383,0.92692,0.80825,0.60119,0.39579,0.66154,0.34887,0.15411,0.91045,5.93291,3.37619,1.38247,0.0019505,0.0019505,0.0019505
7,93.8094,0.73344,1.19486,0.62806,1.1305,0.89477,0.92308,0.97329,0.75268,0.70662,0.80769,0.68821,0.35907,0.81823,2.47486,1.3566,1.26832,0.0019406,0.0019406,0.0019406
8,104.97,0.69493,1.03054,0.59846,1.09287,0.80724,0.9,0.91849,0.69222,0.62354,0.66923,0.57142,0.2965,0.97011,3.43897,1.52409,1.39286,0.0019307,0.0019307,0.0019307
9,116.144,0.67558,1.04053,0.55527,1.07631,0.92486,0.98462,0.98572,0.81869,0.89109,0.95385,0.92563,0.5469,0.69512,1.85597,1.57668,1.11781,0.0019208,0.0019208,0.0019208
10,128.94,0.68184,0.94394,0.55438,1.09205,0.85722,0.94673,0.9687,0.80605,0.72414,0.82692,0.68981,0.3872,0.71463,2.41902,1.97781,1.16031,0.0019109,0.0019109,0.0019109
